Name                                                                                                                       Coverage           
        closure #1 in UserListView.emptyStateView.getter                                                                   100.00% (22/22)    
        closure #1 in closure #1 in UserListView.emptyStateView.getter                                                     0.00% (0/1)        
        closure #2 in closure #1 in UserListView.emptyStateView.getter                                                     100.00% (9/9)      
        UserListView.userListView.getter                                                                                   100.00% (55/55)    
        closure #1 in UserListView.userListView.getter                                                                     72.97% (27/37)     
        closure #1 in closure #1 in UserListView.userListView.getter                                                       100.00% (23/23)    
        closure #1 in closure #1 in closure #1 in UserListView.userListView.getter                                         0.00% (0/3)        
        closure #2 in closure #1 in closure #1 in UserListView.userListView.getter                                         100.00% (8/8)      
        closure #1 in closure #2 in closure #1 in closure #1 in UserListView.userListView.getter                           0.00% (0/4)        
        closure #2 in closure #2 in closure #1 in closure #1 in UserListView.userListView.getter                           100.00% (3/3)      
        closure #3 in closure #1 in closure #1 in UserListView.userListView.getter                                         66.67% (4/6)       
        closure #2 in closure #1 in UserListView.userListView.getter                                                       0.00% (0/6)        
        closure #2 in UserListView.userListView.getter                                                                     0.00% (0/5)        
        closure #1 in closure #2 in UserListView.userListView.getter                                                       0.00% (0/3)        
        closure #3 in UserListView.userListView.getter                                                                     20.00% (2/10)      
        closure #1 in closure #3 in UserListView.userListView.getter                                                       0.00% (0/6)        
        UserListView.crudActionBar.getter                                                                                  100.00% (51/51)    
        closure #1 in UserListView.crudActionBar.getter                                                                    100.00% (42/42)    
        closure #1 in closure #1 in UserListView.crudActionBar.getter                                                      0.00% (0/3)        
        closure #2 in closure #1 in UserListView.crudActionBar.getter                                                      0.00% (0/3)        
        closure #3 in closure #1 in UserListView.crudActionBar.getter                                                      0.00% (0/4)        
        closure #4 in closure #1 in UserListView.crudActionBar.getter                                                      0.00% (0/4)        
        UserListView.handleEffect(_:)                                                                                      0.00% (0/19)       
        UserListView.updatePendingCount()                                                                                  90.91% (10/11)     
        SearchBar.body.getter                                                                                              100.00% (19/19)    
        closure #1 in SearchBar.body.getter                                                                                57.14% (8/14)      
        closure #1 in closure #1 in SearchBar.body.getter                                                                  0.00% (0/1)        
        closure #2 in closure #1 in SearchBar.body.getter                                                                  0.00% (0/4)        
        ActionButton.body.getter                                                                                           100.00% (15/15)    
        closure #1 in ActionButton.body.getter                                                                             100.00% (13/13)    
        closure #1 in closure #1 in ActionButton.body.getter                                                               100.00% (9/9)      
        UserStatisticsBanner.body.getter                                                                                   100.00% (36/36)    
        closure #1 in UserStatisticsBanner.body.getter                                                                     100.00% (27/27)    
        closure #1 in closure #1 in UserStatisticsBanner.body.getter                                                       100.00% (9/9)      
        closure #2 in closure #1 in UserStatisticsBanner.body.getter                                                       100.00% (9/9)      
        variable initialization expression of _UnusedMockAnalyticsTracker.sessionId                                        0.00% (0/1)        
        _UnusedMockAnalyticsTracker.trackEvent(_:params:)                                                                  0.00% (0/1)        
        _UnusedMockAnalyticsTracker.trackScreen(_:params:)                                                                 0.00% (0/1)        
        _UnusedMockAnalyticsTracker.trackError(_:context:)                                                                 0.00% (0/1)        
        _UnusedMockAnalyticsTracker.trackAppError(_:context:)                                                              0.00% (0/1)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaPresentation/Components/AvatarView.swift          79.80% (79/99)     
        AvatarView.init(user:size:)                                                                                        100.00% (4/4)      
        AvatarView.body.getter                                                                                             100.00% (27/27)    
        closure #1 in AvatarView.body.getter                                                                               87.50% (21/24)     
        closure #1 in closure #1 in AvatarView.body.getter                                                                 87.50% (14/16)     
        AvatarView.initialsPlaceholder.getter                                                                              0.00% (0/10)       
        closure #1 in AvatarView.initialsPlaceholder.getter                                                                0.00% (0/5)        
        AvatarView.loadingPlaceholder.getter                                                                               100.00% (9/9)      
        closure #1 in AvatarView.loadingPlaceholder.getter                                                                 100.00% (4/4)      
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaData/Remote/ReqresUserDataSource.swift            25.37% (69/272)    
        ReqresUserDataSource.init(apiService:analyticsTracker:)                                                            100.00% (4/4)      
        ReqresUserDataSource.getUsers()                                                                                    84.62% (33/39)     
        closure #1 in ReqresUserDataSource.getUsers()                                                                      100.00% (1/1)      
        ReqresUserDataSource.getUsers(page:perPage:)                                                                       81.08% (30/37)     
        closure #1 in ReqresUserDataSource.getUsers(page:perPage:)                                                         100.00% (1/1)      
        ReqresUserDataSource.getUser(id:)                                                                                  0.00% (0/26)       
        ReqresUserDataSource.createUser(_:)                                                                                0.00% (0/40)       
        implicit closure #1 in ReqresUserDataSource.createUser(_:)                                                         0.00% (0/1)        
        ReqresUserDataSource.updateUser(_:)                                                                                0.00% (0/43)       
        implicit closure #1 in ReqresUserDataSource.updateUser(_:)                                                         0.00% (0/1)        
        implicit closure #2 in ReqresUserDataSource.updateUser(_:)                                                         0.00% (0/1)        
        implicit closure #3 in ReqresUserDataSource.updateUser(_:)                                                         0.00% (0/1)        
        implicit closure #4 in ReqresUserDataSource.updateUser(_:)                                                         0.00% (0/1)        
        ReqresUserDataSource.deleteUser(_:)                                                                                0.00% (0/25)       
        ReqresUserDataSource.searchUsers(query:)                                                                           0.00% (0/12)       
        closure #1 in ReqresUserDataSource.searchUsers(query:)                                                             0.00% (0/6)        
        implicit closure #1 in closure #1 in ReqresUserDataSource.searchUsers(query:)                                      0.00% (0/1)        
        implicit closure #2 in closure #1 in ReqresUserDataSource.searchUsers(query:)                                      0.00% (0/1)        
        implicit closure #3 in closure #1 in ReqresUserDataSource.searchUsers(query:)                                      0.00% (0/1)        
        ReqresUserDataSource.refreshUsers()                                                                                0.00% (0/4)        
        ReqresUserDataSource.mapError(_:)                                                                                  0.00% (0/22)       
        ReqresUserDataSource.parseDate(_:)                                                                                 0.00% (0/4)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaData/Local/Entities/AnalyticsEventEntity.swift    45.31% (29/64)     
        AnalyticsEventEntity.init(id:eventType:eventName:timestamp:sessionId:category:parametersJSON:isSynced:)            100.00% (10/10)    
        AnalyticsEventEntity.parameters.getter                                                                             0.00% (0/7)        
        static AnalyticsEventEntity.from(event:sessionId:params:)                                                          100.00% (17/17)    
        closure #1 in static AnalyticsEventEntity.from(event:sessionId:params:)                                            100.00% (1/1)      
        closure #2 in static AnalyticsEventEntity.from(event:sessionId:params:)                                            100.00% (1/1)      
        implicit closure #1 in static AnalyticsEventEntity.from(event:sessionId:params:)                                   0.00% (0/1)        
        static AnalyticsEventEntity.fromError(error:sessionId:context:)                                                    0.00% (0/24)       
        closure #1 in static AnalyticsEventEntity.fromError(error:sessionId:context:)                                      0.00% (0/1)        
        closure #2 in static AnalyticsEventEntity.fromError(error:sessionId:context:)                                      0.00% (0/1)        
        implicit closure #1 in static AnalyticsEventEntity.fromError(error:sessionId:context:)                             0.00% (0/1)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaPresentation/Screens/User/UserFormView.swift      0.00% (0/671)      
        variable initialization expression of UserFormView._showingError                                                   0.00% (0/1)        
        closure #1 in default argument 1 of UserFormView.init(viewModel:onSave:)                                           0.00% (0/1)        
        UserFormView.init(viewModel:onSave:)                                                                               0.00% (0/4)        
        implicit closure #1 in UserFormView.init(viewModel:onSave:)                                                        0.00% (0/1)        
        UserFormView.body.getter                                                                                           0.00% (0/115)      
        closure #1 in UserFormView.body.getter                                                                             0.00% (0/96)       
        closure #1 in closure #1 in UserFormView.body.getter                                                               0.00% (0/90)       
        closure #1 in closure #1 in closure #1 in UserFormView.body.getter                                                 0.00% (0/87)       
        closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                                   0.00% (0/49)       
        closure #1 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #2 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #3 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #4 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #5 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #6 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #7 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #8 in closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/1)        
        closure #2 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                                   0.00% (0/3)        
        closure #3 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                                   0.00% (0/24)       
        closure #1 in closure #3 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                     0.00% (0/9)        
        implicit closure #1 in closure #3 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter            0.00% (0/1)        
        implicit closure #1 in closure #1 in closure #1 in closure #1 in UserFormView.body.getter                          0.00% (0/1)        
        closure #2 in UserFormView.body.getter                                                                             0.00% (0/7)        
        closure #1 in closure #2 in UserFormView.body.getter                                                               0.00% (0/5)        
        closure #1 in closure #1 in closure #2 in UserFormView.body.getter                                                 0.00% (0/3)        
        closure #3 in UserFormView.body.getter                                                                             0.00% (0/3)        
        closure #1 in closure #3 in UserFormView.body.getter                                                               0.00% (0/1)        
        closure #4 in UserFormView.body.getter                                                                             0.00% (0/3)        
        closure #5 in UserFormView.body.getter                                                                             0.00% (0/3)        
        UserFormView.headerView.getter                                                                                     0.00% (0/22)       
        closure #1 in UserFormView.headerView.getter                                                                       0.00% (0/19)       
        closure #1 in closure #1 in UserFormView.headerView.getter                                                         0.00% (0/5)        
        UserFormView.createPreviewUser()                                                                                   0.00% (0/11)       
        implicit closure #1 in UserFormView.createPreviewUser()                                                            0.00% (0/1)        
        UserFormView.handleEffect(_:)                                                                                      0.00% (0/13)       
        FormField.body.getter                                                                                              0.00% (0/33)       
        closure #1 in FormField.body.getter                                                                                0.00% (0/31)       
        closure #1 in closure #1 in FormField.body.getter                                                                  0.00% (0/6)        
        PreviewUserService.getUsers()                                                                                      0.00% (0/1)        
        PreviewUserService.getUsers(page:perPage:)                                                                         0.00% (0/3)        
        PreviewUserService.getUser(id:)                                                                                    0.00% (0/1)        
        PreviewUserService.createUser(_:)                                                                                  0.00% (0/1)        
        PreviewUserService.updateUser(_:)                                                                                  0.00% (0/1)        
        PreviewUserService.deleteUser(_:)                                                                                  0.00% (0/1)        
        PreviewUserService.searchUsers(query:)                                                                             0.00% (0/1)        
        PreviewUserService.refreshUsers()                                                                                  0.00% (0/1)        
        variable initialization expression of PreviewAnalyticsTracker.sessionId                                            0.00% (0/1)        
        PreviewAnalyticsTracker.trackEvent(_:params:)                                                                      0.00% (0/1)        
        PreviewAnalyticsTracker.trackScreen(_:params:)                                                                     0.00% (0/1)        
        PreviewAnalyticsTracker.trackError(_:context:)                                                                     0.00% (0/1)        
        PreviewAnalyticsTracker.trackAppError(_:context:)                                                                  0.00% (0/1)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaData/Repository/OfflineFirstUserRepository.swift  35.70% (171/479)   
        variable initialization expression of OfflineFirstUserRepository.cacheCapacity                                     100.00% (1/1)      
        variable initialization expression of OfflineFirstUserRepository.isSyncing                                         100.00% (1/1)      
        OfflineFirstUserRepository.init(localDataSource:remoteDataSource:analyticsTracker:modelContext:)                   100.00% (11/11)    
        OfflineFirstUserRepository.getUsers()                                                                              89.13% (41/46)     
        closure #1 in OfflineFirstUserRepository.getUsers()                                                                100.00% (3/3)      
        closure #2 in OfflineFirstUserRepository.getUsers()                                                                100.00% (3/3)      
        OfflineFirstUserRepository.getUsers(page:perPage:)                                                                 53.06% (26/49)     
        OfflineFirstUserRepository.getUser(id:)                                                                            0.00% (0/38)       
        OfflineFirstUserRepository.createUser(_:)                                                                          0.00% (0/39)       
        OfflineFirstUserRepository.updateUser(_:)                                                                          0.00% (0/35)       
        OfflineFirstUserRepository.deleteUser(_:)                                                                          0.00% (0/33)       
        OfflineFirstUserRepository.searchUsers(query:)                                                                     0.00% (0/11)       
        OfflineFirstUserRepository.refreshUsers()                                                                          0.00% (0/10)       
        OfflineFirstUserRepository.fetchUsersFromRemote()                                                                  50.00% (15/30)     
        OfflineFirstUserRepository.syncUsersInBackground()                                                                 94.12% (16/17)     
        OfflineFirstUserRepository.queuePendingChange(userId:operation:user:)                                              0.00% (0/20)       
        closure #1 in OfflineFirstUserRepository.queuePendingChange(userId:operation:user:)                                0.00% (0/4)        
        OfflineFirstUserRepository.setupNetworkMonitoring()                                                                100.00% (13/13)    
        closure #1 in OfflineFirstUserRepository.setupNetworkMonitoring()                                                  100.00% (11/11)    
        closure #1 in closure #1 in OfflineFirstUserRepository.setupNetworkMonitoring()                                    100.00% (7/7)      
        closure #1 in closure #1 in closure #1 in OfflineFirstUserRepository.setupNetworkMonitoring()                      100.00% (3/3)      
        OfflineFirstUserRepository.processOfflineChanges()                                                                 18.18% (16/88)     
        implicit closure #1 in OfflineFirstUserRepository.processOfflineChanges()                                          0.00% (0/1)        
        OfflineFirstUserRepository.getPendingChangesCount()                                                                100.00% (4/4)      
        implicit closure #1 in OfflineFirstUserRepository.getPendingChangesCount()                                         0.00% (0/1)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaData/Local/SwiftDataUserDataSource.swift          31.97% (78/244)    
        SwiftDataUserDataSource.init(modelContainer:analyticsTracker:)                                                     100.00% (4/4)      
        SwiftDataUserDataSource.context.getter                                                                             100.00% (3/3)      
        SwiftDataUserDataSource.getUsers()                                                                                 100.00% (9/9)      
        closure #1 in SwiftDataUserDataSource.getUsers()                                                                   100.00% (7/7)      
        closure #1 in closure #1 in SwiftDataUserDataSource.getUsers()                                                     100.00% (1/1)      
        SwiftDataUserDataSource.getUser(id:)                                                                               0.00% (0/18)       
        closure #1 in SwiftDataUserDataSource.getUser(id:)                                                                 0.00% (0/16)       
        SwiftDataUserDataSource.createUser(_:)                                                                             0.00% (0/7)        
        closure #1 in SwiftDataUserDataSource.createUser(_:)                                                               0.00% (0/5)        
        SwiftDataUserDataSource.updateUser(_:)                                                                             0.00% (0/18)       
        closure #1 in SwiftDataUserDataSource.updateUser(_:)                                                               0.00% (0/16)       
        SwiftDataUserDataSource.deleteUser(_:)                                                                             0.00% (0/13)       
        closure #1 in SwiftDataUserDataSource.deleteUser(_:)                                                               0.00% (0/11)       
        SwiftDataUserDataSource.saveUsers(_:)                                                                              100.00% (14/14)    
        closure #1 in SwiftDataUserDataSource.saveUsers(_:)                                                                100.00% (12/12)    
        SwiftDataUserDataSource.searchUsers(query:)                                                                        0.00% (0/19)       
        closure #1 in SwiftDataUserDataSource.searchUsers(query:)                                                          0.00% (0/17)       
        closure #2 in closure #1 in SwiftDataUserDataSource.searchUsers(query:)                                            0.00% (0/1)        
        SwiftDataUserDataSource.clearAll()                                                                                 0.00% (0/6)        
        closure #1 in SwiftDataUserDataSource.clearAll()                                                                   0.00% (0/4)        
        SwiftDataUserDataSource.performQuery<A>(_:)                                                                        61.90% (13/21)     
        SwiftDataUserDataSource.performWrite(_:)                                                                           68.18% (15/22)     
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaDomain/Model/User.swift                           16.90% (12/71)     
        User.init(id:email:firstName:lastName:avatar:createdAt:updatedAt:)                                                 100.00% (9/9)      
        User.fullName.getter                                                                                               100.00% (3/3)      
        User.initials.getter                                                                                               0.00% (0/5)        
        User.hash(into:)                                                                                                   0.00% (0/5)        
        static User.== infix(_:_:)                                                                                         0.00% (0/5)        
        static User.mock(id:email:firstName:lastName:avatar:createdAt:updatedAt:)                                          0.00% (0/11)       
        static User.mockUsers.getter                                                                                       0.00% (0/10)       
        User.toDTO()                                                                                                       0.00% (0/9)        
        static User.from(dto:)                                                                                             0.00% (0/11)       
        implicit closure #1 in static User.from(dto:)                                                                      0.00% (0/1)        
        implicit closure #2 in static User.from(dto:)                                                                      0.00% (0/1)        
        implicit closure #3 in static User.from(dto:)                                                                      0.00% (0/1)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaCore/Remote/ApiService.swift                      30.99% (53/171)    
        ApiService.init(baseURL:)                                                                                          100.00% (15/15)    
        ApiService.getUsers(page:perPage:)                                                                                 100.00% (16/16)    
        ApiService.getUser(id:)                                                                                            0.00% (0/11)       
        ApiService.createUser(email:firstName:lastName:)                                                                   0.00% (0/18)       
        ApiService.updateUser(id:email:firstName:lastName:)                                                                0.00% (0/18)       
        ApiService.patchUser(id:email:firstName:lastName:)                                                                 0.00% (0/24)       
        ApiService.deleteUser(id:)                                                                                         0.00% (0/16)       
        implicit closure #1 in ApiService.deleteUser(id:)                                                                  0.00% (0/1)        
        variable initialization expression of ApiInterceptor.apiKey                                                        100.00% (1/1)      
        ApiInterceptor.adapt(_:for:completion:)                                                                            100.00% (12/12)    
        ApiInterceptor.retry(_:for:dueTo:completion:)                                                                      0.00% (0/13)       
        ApiError.errorDescription.getter                                                                                   0.00% (0/14)       
        ReqresUser.toUser()                                                                                                100.00% (9/9)      
        User.reqresId.getter                                                                                               0.00% (0/3)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaData/Local/Entities/PendingChangeEntity.swift     0.00% (0/42)       
        PendingChangeEntity.init(id:userId:operation:userDataJSON:timestamp:retryCount:lastError:)                         0.00% (0/9)        
        PendingChangeEntity.toPendingChange()                                                                              0.00% (0/17)       
        static PendingChangeEntity.from(change:)                                                                           0.00% (0/16)       
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaCore/Network/NetworkMonitor.swift                 84.85% (56/66)     
        variable initialization expression of NetworkMonitor._isConnected                                                  100.00% (1/1)      
        variable initialization expression of NetworkMonitor._connectionType                                               100.00% (1/1)      
        variable initialization expression of NetworkMonitor.monitor                                                       100.00% (1/1)      
        variable initialization expression of NetworkMonitor.queue                                                         100.00% (1/1)      
        NetworkMonitor.().init()                                                                                           100.00% (3/3)      
        NetworkMonitor.startMonitoring()                                                                                   100.00% (21/21)    
        closure #1 in NetworkMonitor.startMonitoring()                                                                     100.00% (17/17)    
        closure #1 in closure #1 in NetworkMonitor.startMonitoring()                                                       73.33% (11/15)     
        NetworkMonitor.stopMonitoring()                                                                                    0.00% (0/3)        
        NetworkMonitor.deinit                                                                                              0.00% (0/3)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaCore/Analytics/AnalyticsTracker.swift             25.00% (3/12)      
        AnalyticsTracker.trackEvent(_:)                                                                                    0.00% (0/3)        
        AnalyticsTracker.trackScreen(_:)                                                                                   100.00% (3/3)      
        AnalyticsTracker.trackError(_:)                                                                                    0.00% (0/3)        
        AnalyticsTracker.trackAppError(_:)                                                                                 0.00% (0/3)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaCore/Analytics/PersistentAnalyticsTracker.swift   15.65% (64/409)    
        variable initialization expression of PersistentAnalyticsTracker.logger                                            100.00% (1/1)      
        PersistentAnalyticsTracker.init(modelContainer:)                                                                   100.00% (7/7)      
        implicit closure #1 in PersistentAnalyticsTracker.init(modelContainer:)                                            100.00% (1/1)      
        PersistentAnalyticsTracker.context.getter                                                                          100.00% (3/3)      
        PersistentAnalyticsTracker.trackEvent(_:params:)                                                                   100.00% (18/18)    
        closure #1 in PersistentAnalyticsTracker.trackEvent(_:params:)                                                     93.75% (15/16)     
        implicit closure #1 in closure #1 in PersistentAnalyticsTracker.trackEvent(_:params:)                              0.00% (0/1)        
        implicit closure #2 in closure #1 in PersistentAnalyticsTracker.trackEvent(_:params:)                              0.00% (0/1)        
        implicit closure #3 in closure #1 in PersistentAnalyticsTracker.trackEvent(_:params:)                              0.00% (0/1)        
        PersistentAnalyticsTracker.trackScreen(_:params:)                                                                  82.61% (19/23)     
        PersistentAnalyticsTracker.trackError(_:context:)                                                                  0.00% (0/4)        
        PersistentAnalyticsTracker.trackAppError(_:context:)                                                               0.00% (0/18)       
        closure #1 in PersistentAnalyticsTracker.trackAppError(_:context:)                                                 0.00% (0/16)       
        implicit closure #1 in closure #1 in PersistentAnalyticsTracker.trackAppError(_:context:)                          0.00% (0/1)        
        implicit closure #2 in closure #1 in PersistentAnalyticsTracker.trackAppError(_:context:)                          0.00% (0/1)        
        implicit closure #3 in closure #1 in PersistentAnalyticsTracker.trackAppError(_:context:)                          0.00% (0/1)        
        PersistentAnalyticsTracker.getAllEvents()                                                                          0.00% (0/15)       
        closure #1 in PersistentAnalyticsTracker.getAllEvents()                                                            0.00% (0/13)       
        closure #1 in closure #1 in PersistentAnalyticsTracker.getAllEvents()                                              0.00% (0/11)       
        PersistentAnalyticsTracker.getEvents(category:)                                                                    0.00% (0/19)       
        closure #1 in PersistentAnalyticsTracker.getEvents(category:)                                                      0.00% (0/17)       
        closure #1 in closure #1 in PersistentAnalyticsTracker.getEvents(category:)                                        0.00% (0/15)       
        PersistentAnalyticsTracker.getErrorEvents()                                                                        0.00% (0/19)       
        closure #1 in PersistentAnalyticsTracker.getErrorEvents()                                                          0.00% (0/17)       
        closure #1 in closure #1 in PersistentAnalyticsTracker.getErrorEvents()                                            0.00% (0/15)       
        PersistentAnalyticsTracker.getEventsCount()                                                                        0.00% (0/13)       
        closure #1 in PersistentAnalyticsTracker.getEventsCount()                                                          0.00% (0/11)       
        closure #1 in closure #1 in PersistentAnalyticsTracker.getEventsCount()                                            0.00% (0/9)        
        PersistentAnalyticsTracker.clearAllEvents()                                                                        0.00% (0/15)       
        closure #1 in PersistentAnalyticsTracker.clearAllEvents()                                                          0.00% (0/13)       
        closure #1 in closure #1 in PersistentAnalyticsTracker.clearAllEvents()                                            0.00% (0/11)       
        implicit closure #1 in closure #1 in closure #1 in PersistentAnalyticsTracker.clearAllEvents()                     0.00% (0/1)        
        PersistentAnalyticsTracker.markEventsSynced(_:)                                                                    0.00% (0/25)       
        closure #1 in PersistentAnalyticsTracker.markEventsSynced(_:)                                                      0.00% (0/23)       
        closure #1 in closure #1 in PersistentAnalyticsTracker.markEventsSynced(_:)                                        0.00% (0/21)       
        implicit closure #1 in closure #1 in closure #1 in PersistentAnalyticsTracker.markEventsSynced(_:)                 0.00% (0/1)        
        implicit closure #2 in closure #1 in closure #1 in PersistentAnalyticsTracker.markEventsSynced(_:)                 0.00% (0/1)        
        PersistentAnalyticsTracker.startNewSession()                                                                       0.00% (0/5)        
        implicit closure #1 in PersistentAnalyticsTracker.startNewSession()                                                0.00% (0/1)        
        PersistentAnalyticsTracker.endSession()                                                                            0.00% (0/4)        
        implicit closure #1 in PersistentAnalyticsTracker.endSession()                                                     0.00% (0/1)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaPresentation/Theme/ArcanaTheme.swift              88.46% (23/26)     
        Color.init(hex:)                                                                                                   86.96% (20/23)     
        View.arcanaShadow(_:)                                                                                              100.00% (3/3)      
arcana-iosTests.xctest                                                                                                     0.00% (0/2711)     
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-iosTests/ComprehensiveCoverageTests.swift                           0.00% (0/271)      
        PaginatedResultTests.testPaginatedResultInit()                                                                     0.00% (0/14)       
        PaginatedResultTests.testPaginatedResultLastPage()                                                                 0.00% (0/11)       
        UserDTOTests.testDTOEncoding()                                                                                     0.00% (0/14)       
        UserDTOTests.testDTODecoding()                                                                                     0.00% (0/19)       
        UserDTOTests.testDTONullAvatar()                                                                                   0.00% (0/16)       
        UserDTOTests.testDTOWithoutID()                                                                                    0.00% (0/15)       
        ErrorCodeTests.testErrorCodeUniqueness()                                                                           0.00% (0/17)       
        closure #1 in ErrorCodeTests.testErrorCodeUniqueness()                                                             0.00% (0/1)        
        ErrorCodeTests.testErrorCodeDescriptions()                                                                         0.00% (0/5)        
        ErrorCodeTests.testErrorCodeCategories()                                                                           0.00% (0/6)        
        ErrorCodeTests.testServerErrorRetryable()                                                                          0.00% (0/7)        
        MockTests.testMockAnalyticsTracker()                                                                               0.00% (0/8)        
        MockTests.testMockAnalyticsTrackerScreens()                                                                        0.00% (0/8)        
        MockTests.testMockAnalyticsTrackerErrors()                                                                         0.00% (0/8)        
        MockTests.testMockAnalyticsTrackerReset()                                                                          0.00% (0/8)        
        MockTests.testMockUserRepository()                                                                                 0.00% (0/8)        
        MockTests.testMockUserRepositoryError()                                                                            0.00% (0/11)       
        MockTests.testMockUserRepositoryCallCounts()                                                                       0.00% (0/10)       
        MockTests.testMockUserRepositoryReset()                                                                            0.00% (0/10)       
        EdgeCaseTests.testEmptyStrings()                                                                                   0.00% (0/9)        
        EdgeCaseTests.testVeryLongStrings()                                                                                0.00% (0/10)       
        EdgeCaseTests.testUnicodeNames()                                                                                   0.00% (0/6)        
        EdgeCaseTests.testSpecialCharactersInNames()                                                                       0.00% (0/10)       
        EdgeCaseTests.testPaginationBoundaries()                                                                           0.00% (0/19)       
        EdgeCaseTests.testSearchEmptyQuery()                                                                               0.00% (0/9)        
        EdgeCaseTests.testSearchCaseInsensitive()                                                                          0.00% (0/12)       
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-iosTests/Mocks/MockAnalyticsTracker.swift                           0.00% (0/23)       
        variable initialization expression of MockAnalyticsTracker.trackedEvents                                           0.00% (0/1)        
        variable initialization expression of MockAnalyticsTracker.trackedScreens                                          0.00% (0/1)        
        variable initialization expression of MockAnalyticsTracker.trackedErrors                                           0.00% (0/1)        
        variable initialization expression of MockAnalyticsTracker.trackedAppErrors                                        0.00% (0/1)        
        variable initialization expression of MockAnalyticsTracker.sessionId                                               0.00% (0/1)        
        MockAnalyticsTracker.trackEvent(_:params:)                                                                         0.00% (0/3)        
        MockAnalyticsTracker.trackScreen(_:params:)                                                                        0.00% (0/3)        
        MockAnalyticsTracker.trackError(_:context:)                                                                        0.00% (0/3)        
        MockAnalyticsTracker.trackAppError(_:context:)                                                                     0.00% (0/3)        
        MockAnalyticsTracker.reset()                                                                                       0.00% (0/6)        
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-iosTests/Core/AppErrorTests.swift                                   0.00% (0/185)      
        AppErrorTests.testNetworkErrorCode()                                                                               0.00% (0/4)        
        AppErrorTests.testValidationErrorCode()                                                                            0.00% (0/4)        
        AppErrorTests.testServerErrorCode()                                                                                0.00% (0/4)        
        AppErrorTests.testErrorMessages()                                                                                  0.00% (0/10)       
        AppErrorTests.testNetworkErrorRetryable()                                                                          0.00% (0/7)        
        AppErrorTests.testServerErrorRetryable()                                                                           0.00% (0/5)        
        AppErrorTests.testValidationErrorNotRetryable()                                                                    0.00% (0/4)        
        AppErrorTests.testAuthErrorNotRetryable()                                                                          0.00% (0/4)        
        AppErrorTests.testConflictErrorRetryable()                                                                         0.00% (0/4)        
        AppErrorTests.testNetworkErrorUnderlyingError()                                                                    0.00% (0/6)        
        AppErrorTests.testValidationErrorNoUnderlyingError()                                                               0.00% (0/4)        
        AppErrorTests.testFromURLError()                                                                                   0.00% (0/7)        
        AppErrorTests.testFromTimeoutError()                                                                               0.00% (0/7)        
        AppErrorTests.testFromDNSError()                                                                                   0.00% (0/7)        
        AppErrorTests.testFromCancelledError()                                                                             0.00% (0/7)        
        AppErrorTests.testFromSSLError()                                                                                   0.00% (0/7)        
        AppErrorTests.testFromDecodingError()                                                                              0.00% (0/6)        
        AppErrorTests.testFromGenericError()                                                                               0.00% (0/7)        
        AppErrorTests.testFromAppError()                                                                                   0.00% (0/6)        
        AppErrorTests.testFromHTTPBadRequest()                                                                             0.00% (0/4)        
        AppErrorTests.testFromHTTPUnauthorized()                                                                           0.00% (0/4)        
